,Image_ID,DL_Separation_Measure,DL_Concentration_Measure,Non_DL_Separation_Measure,Non_DL_Concentration_Measure
81,81.0,0.9999999999916027,0.9998826731743946,0.9500280528367959,0.6529078784640088
82,82.0,0.9999959468136799,0.9973881815213842,0.9519879347000102,0.13009250736377023
83,83.0,0.9999999999999662,0.983248060736095,0.9479606430697017,0.06839739241116446
84,84.0,0.7686217868402407,1.0,0.9522912408176226,0.48365933888150997
85,85.0,0.9999999999354467,0.9742266077415422,0.9763522543810911,0.15116268601625868
86,86.0,0.9999999999987077,1.0,0.9537141630048785,0.40689431312786645
87,87.0,0.7686217868402407,0.6699067404655394,0.9701364932160254,0.3042753129747001
88,88.0,1.0,1.0,0.963842798229111,0.29420468308029496
89,89.0,0.9999999995772817,0.8798347728126173,0.9254588198421425,0.18929427721308903
90,90.0,0.9999999999999789,1.0,0.9589425221933876,0.2668318873525843
91,91.0,1.0,1.0,0.9666209586307105,0.10558603755083441
92,92.0,0.9999999999999984,1.0,0.9548583028398755,0.5592512923063102
93,93.0,0.9999999999999227,0.999286733238231,0.9497265189616956,0.11838488266863324
94,94.0,0.9999999999999998,0.9319646335980818,0.9564683311990291,0.4483065352094344
95,95.0,0.9963495852817852,0.7722497811496936,0.9498983075678358,0.18904877926598157
